"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 11:41:12 GMT 2024","Wed Feb 21 11:41:13 GMT 2024","1277","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","searchResultsCountTest","searchResultsCountTest(String) Адрес {1} должен быть в выдаче гугла по запросу Allure testops",""
"passed","Wed Feb 21 11:41:34 GMT 2024","Wed Feb 21 11:41:37 GMT 2024","3720","","allure.SelenideTest","","allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Wed Feb 21 11:41:10 GMT 2024","Wed Feb 21 11:41:12 GMT 2024","1171","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://selenide.org должен быть в выдаче гугла по запросу Selenide",""
"passed","Wed Feb 21 11:41:30 GMT 2024","Wed Feb 21 11:41:30 GMT 2024","3","","files.FilesParsingTest","","files.FilesParsingTest","zipParseTest","zipParseTest()",""
"passed","Wed Feb 21 11:41:24 GMT 2024","Wed Feb 21 11:41:27 GMT 2024","2809","","demoqa.AutomationPracticeFormWithRandomUtilsTestCase","","demoqa.AutomationPracticeFormWithRandomUtilsTestCase","fillFormTest","fillFormTest()",""
"passed","Wed Feb 21 11:41:03 GMT 2024","Wed Feb 21 11:41:03 GMT 2024","1","","jUnit.jUnitTest","","jUnit.jUnitTest","secondTest","secondTest()",""
"passed","Wed Feb 21 11:41:30 GMT 2024","Wed Feb 21 11:41:33 GMT 2024","3032","","files.FilesParsingTest","","files.FilesParsingTest","pdfParseTest","pdfParseTest()",""
"passed","Wed Feb 21 11:41:07 GMT 2024","Wed Feb 21 11:41:09 GMT 2024","1338","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://selenide.org должен быть в выдаче гугла по запросу Selenide",""
"passed","Wed Feb 21 11:40:50 GMT 2024","Wed Feb 21 11:40:57 GMT 2024","6531","","SearchTests","","SearchTests","testAlfa","testAlfa()",""
"passed","Wed Feb 21 11:41:03 GMT 2024","Wed Feb 21 11:41:03 GMT 2024","48","","jUnit.jUnitTest","","jUnit.jUnitTest","firstTest","firstTest()",""
"passed","Wed Feb 21 11:40:42 GMT 2024","Wed Feb 21 11:40:49 GMT 2024","6425","","gitHub.SelenideRepositorySearch","","gitHub.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Wed Feb 21 11:41:18 GMT 2024","Wed Feb 21 11:41:22 GMT 2024","3841","","demoqa.AutomationPracticeFormWithJavaFakerTestCase","","demoqa.AutomationPracticeFormWithJavaFakerTestCase","fillFormTest","fillFormTest()",""
"passed","Wed Feb 21 11:41:42 GMT 2024","Wed Feb 21 11:41:43 GMT 2024","1006","","allure.AttachmentsTest","","allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Wed Feb 21 11:41:05 GMT 2024","Wed Feb 21 11:41:07 GMT 2024","2153","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://qameta.io должен быть в выдаче гугла по запросу Allure testops",""
"failed","Wed Feb 21 11:40:57 GMT 2024","Wed Feb 21 11:41:03 GMT 2024","6636","","SearchTests","","SearchTests","successfulSearchTestYandex","successfulSearchTestYandex()",""
"passed","Wed Feb 21 11:41:13 GMT 2024","Wed Feb 21 11:41:14 GMT 2024","1335","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","searchResultsCountTest","searchResultsCountTest(String) Адрес {1} должен быть в выдаче гугла по запросу Selenide",""
