"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 08:12:41 GMT 2024","Wed Feb 21 08:12:45 GMT 2024","3657","","demoqa.AutomationPracticeFormWithJavaFakerTestCase","","demoqa.AutomationPracticeFormWithJavaFakerTestCase","fillFormTest","fillFormTest()",""
"passed","Wed Feb 21 08:12:03 GMT 2024","Wed Feb 21 08:12:10 GMT 2024","6150","","gitHub.SelenideRepositorySearch","","gitHub.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Wed Feb 21 08:12:53 GMT 2024","Wed Feb 21 08:12:53 GMT 2024","4","","files.FilesParsingTest","","files.FilesParsingTest","jsonParseTest","jsonParseTest()",""
"passed","Wed Feb 21 08:13:01 GMT 2024","Wed Feb 21 08:13:03 GMT 2024","2037","","allure.StepsTest","","allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Wed Feb 21 08:12:27 GMT 2024","Wed Feb 21 08:12:29 GMT 2024","2299","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://qameta.io должен быть в выдаче гугла по запросу Allure testops",""
"passed","Wed Feb 21 08:12:32 GMT 2024","Wed Feb 21 08:12:34 GMT 2024","1455","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://selenide.org должен быть в выдаче гугла по запросу Selenide",""
"passed","Wed Feb 21 08:12:25 GMT 2024","Wed Feb 21 08:12:25 GMT 2024","17","","jUnit.jUnitTest","","jUnit.jUnitTest","firstTest","firstTest()",""
"passed","Wed Feb 21 08:12:51 GMT 2024","Wed Feb 21 08:12:53 GMT 2024","1429","","files.SelenideFilesTest","","files.SelenideFilesTest","selenideDownloadTest","selenideDownloadTest()",""
"passed","Wed Feb 21 08:12:26 GMT 2024","Wed Feb 21 08:12:27 GMT 2024","739","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","simpleTest","Демонстрационный тест",""
"passed","Wed Feb 21 08:12:31 GMT 2024","Wed Feb 21 08:12:32 GMT 2024","1531","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://qameta.io должен быть в выдаче гугла по запросу Allure testops",""
"passed","Wed Feb 21 08:12:37 GMT 2024","Wed Feb 21 08:12:37 GMT 2024","0","","NewTest","","NewTest","newTest","newTest()",""
"passed","Wed Feb 21 08:12:53 GMT 2024","Wed Feb 21 08:12:57 GMT 2024","4286","","files.FilesParsingTest","","files.FilesParsingTest","pdfParseTest","pdfParseTest()",""
"passed","Wed Feb 21 08:13:05 GMT 2024","Wed Feb 21 08:13:06 GMT 2024","436","","allure.AttachmentsTest","","allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Wed Feb 21 08:12:10 GMT 2024","Wed Feb 21 08:12:11 GMT 2024","1135","","gitHub.BestContributorToSelenide","","gitHub.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"passed","Wed Feb 21 08:12:25 GMT 2024","Wed Feb 21 08:12:26 GMT 2024","994","","jUnit.SelenideTest","","jUnit.SelenideTest","selenideSiteShouldContainAllOfButtonsForGivenLocale","selenideSiteShouldContainAllOfButtonsForGivenLocale(Locale, List) Для локали EN отображаются кнопки [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Wed Feb 21 08:12:25 GMT 2024","Wed Feb 21 08:12:25 GMT 2024","2","","jUnit.jUnitTest","","jUnit.jUnitTest","secondTest","secondTest()",""
"passed","Wed Feb 21 08:13:01 GMT 2024","Wed Feb 21 08:13:01 GMT 2024","1","","allure.LabelsTest","","allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Wed Feb 21 08:13:06 GMT 2024","Wed Feb 21 08:13:07 GMT 2024","820","","allure.AttachmentsTest","","allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Wed Feb 21 08:12:35 GMT 2024","Wed Feb 21 08:12:37 GMT 2024","1617","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","searchResultsCountTest","searchResultsCountTest(String) Адрес {1} должен быть в выдаче гугла по запросу Selenide",""
"passed","Wed Feb 21 08:12:58 GMT 2024","Wed Feb 21 08:13:01 GMT 2024","3392","","allure.SelenideTest","","allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Wed Feb 21 08:12:19 GMT 2024","Wed Feb 21 08:12:24 GMT 2024","5644","","SearchTests","","SearchTests","successfulSearchTestYandex","successfulSearchTestYandex()",""
"passed","Wed Feb 21 08:12:45 GMT 2024","Wed Feb 21 08:12:47 GMT 2024","2656","","demoqa.AutomationPracticeFormTestCase","","demoqa.AutomationPracticeFormTestCase","fillFormTest","fillFormTest()",""
"passed","Wed Feb 21 08:13:03 GMT 2024","Wed Feb 21 08:13:05 GMT 2024","2041","","allure.StepsTest","","allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Wed Feb 21 08:12:53 GMT 2024","Wed Feb 21 08:12:53 GMT 2024","55","","files.FilesParsingTest","","files.FilesParsingTest","jsonParseImprovedTest","jsonParseImprovedTest()",""
"passed","Wed Feb 21 08:12:53 GMT 2024","Wed Feb 21 08:12:53 GMT 2024","33","","files.FilesParsingTest","","files.FilesParsingTest","csvParseTest","csvParseTest()",""
"passed","Wed Feb 21 08:12:11 GMT 2024","Wed Feb 21 08:12:19 GMT 2024","7940","","SearchTests","","SearchTests","testAlfa","testAlfa()",""
"passed","Wed Feb 21 08:13:01 GMT 2024","Wed Feb 21 08:13:01 GMT 2024","1","","allure.LabelsTest","","allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Wed Feb 21 08:12:26 GMT 2024","Wed Feb 21 08:12:26 GMT 2024","288","","jUnit.SelenideTest","","jUnit.SelenideTest","selenideSiteShouldContainAllOfButtonsForGivenLocale","selenideSiteShouldContainAllOfButtonsForGivenLocale(Locale, List) Для локали RU отображаются кнопки [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"passed","Wed Feb 21 08:12:37 GMT 2024","Wed Feb 21 08:12:41 GMT 2024","4080","","demoqa.TextBoxTests","","demoqa.TextBoxTests","fillFormTest","fillFormTest()",""
"passed","Wed Feb 21 08:12:53 GMT 2024","Wed Feb 21 08:12:53 GMT 2024","2","","files.FilesParsingTest","","files.FilesParsingTest","zipParseTest","zipParseTest()",""
"passed","Wed Feb 21 08:12:34 GMT 2024","Wed Feb 21 08:12:35 GMT 2024","1581","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","searchResultsCountTest","searchResultsCountTest(String) Адрес {1} должен быть в выдаче гугла по запросу Allure testops",""
"passed","Wed Feb 21 08:12:57 GMT 2024","Wed Feb 21 08:12:58 GMT 2024","823","","files.FilesParsingTest","","files.FilesParsingTest","xlsParseTest","xlsParseTest()",""
"passed","Wed Feb 21 08:12:47 GMT 2024","Wed Feb 21 08:12:50 GMT 2024","2863","","demoqa.AutomationPracticeFormWithRandomUtilsTestCase","","demoqa.AutomationPracticeFormWithRandomUtilsTestCase","fillFormTest","fillFormTest()",""
"passed","Wed Feb 21 08:12:50 GMT 2024","Wed Feb 21 08:12:51 GMT 2024","1144","","files.SelenideFilesTest","","files.SelenideFilesTest","selenideUploadFile","selenideUploadFile()",""
"passed","Wed Feb 21 08:12:29 GMT 2024","Wed Feb 21 08:12:31 GMT 2024","1614","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://selenide.org должен быть в выдаче гугла по запросу Selenide",""
