"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 07:51:08 GMT 2024","Wed Feb 21 07:51:12 GMT 2024","4030","","demoqa.AutomationPracticeFormWithJavaFakerTestCase","","demoqa.AutomationPracticeFormWithJavaFakerTestCase","fillFormTest","fillFormTest()",""
"passed","Wed Feb 21 07:51:20 GMT 2024","Wed Feb 21 07:51:20 GMT 2024","61","","files.FilesParsingTest","","files.FilesParsingTest","jsonParseImprovedTest","jsonParseImprovedTest()",""
"passed","Wed Feb 21 07:51:20 GMT 2024","Wed Feb 21 07:51:20 GMT 2024","3","","files.FilesParsingTest","","files.FilesParsingTest","jsonParseTest","jsonParseTest()",""
"passed","Wed Feb 21 07:50:48 GMT 2024","Wed Feb 21 07:50:54 GMT 2024","5536","","SearchTests","","SearchTests","successfulSearchTestYandex","successfulSearchTestYandex()",""
"passed","Wed Feb 21 07:51:32 GMT 2024","Wed Feb 21 07:51:33 GMT 2024","467","","allure.AttachmentsTest","","allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Wed Feb 21 07:51:33 GMT 2024","Wed Feb 21 07:51:34 GMT 2024","1026","","allure.AttachmentsTest","","allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Wed Feb 21 07:51:24 GMT 2024","Wed Feb 21 07:51:25 GMT 2024","612","","files.FilesParsingTest","","files.FilesParsingTest","xlsParseTest","xlsParseTest()",""
"passed","Wed Feb 21 07:51:15 GMT 2024","Wed Feb 21 07:51:18 GMT 2024","2703","","demoqa.AutomationPracticeFormWithRandomUtilsTestCase","","demoqa.AutomationPracticeFormWithRandomUtilsTestCase","fillFormTest","fillFormTest()",""
"passed","Wed Feb 21 07:51:25 GMT 2024","Wed Feb 21 07:51:28 GMT 2024","3458","","allure.SelenideTest","","allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Wed Feb 21 07:50:39 GMT 2024","Wed Feb 21 07:50:41 GMT 2024","1395","","gitHub.BestContributorToSelenide","","gitHub.BestContributorToSelenide","solntsevShouldBeTheTopContributor","solntsevShouldBeTheTopContributor()",""
"passed","Wed Feb 21 07:50:56 GMT 2024","Wed Feb 21 07:50:58 GMT 2024","2124","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://qameta.io должен быть в выдаче гугла по запросу Allure testops",""
"passed","Wed Feb 21 07:50:59 GMT 2024","Wed Feb 21 07:51:01 GMT 2024","1765","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://qameta.io должен быть в выдаче гугла по запросу Allure testops",""
"passed","Wed Feb 21 07:51:28 GMT 2024","Wed Feb 21 07:51:30 GMT 2024","1990","","allure.StepsTest","","allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Wed Feb 21 07:51:19 GMT 2024","Wed Feb 21 07:51:20 GMT 2024","1391","","files.SelenideFilesTest","","files.SelenideFilesTest","selenideDownloadTest","selenideDownloadTest()",""
